,CN_Growth_Change,CN_Inflation_Change,US_Inflation_Change,US_Growth_Change,CN_RiskAppetite_Change,CN_Monetary_Change
沪深300指数,-0.02210816371836437,-0.1098465931198621,-0.18297525754078986,-0.0604483570049566,-0.039033024448349475,0.05806097510715904
中证小盘500指数,-0.0013279565206612814,-0.0643944593082736,-0.17202305223734984,-0.10586085586241066,-0.0395289237385311,0.03238396841359652
中证1000指数,-0.010934731167284358,-0.05106249282471093,-0.1652251195137466,-0.12399339236056196,-0.028149280852185283,0.02855844128337725
上证科创板50成份指数,-0.022536645598679295,-0.04164595856622404,-0.023616480927184307,-0.13883963409598699,0.07180002238700711,-0.14576121407545456
创业板指数,-0.006754090164274797,-0.07348932432925534,-0.17297351393868088,-0.13549333822477283,-0.051814130591064815,-0.007972496745063623
标普中国A股大盘红利低波50指数,0.05692576586795468,-0.049525826484464346,-0.14732363655794,0.015488771371676733,0.003448354604625556,0.1334428592248499
中证红利质量指数,-0.044947449766246005,-0.11759202836749913,-0.20323611746283932,-0.14859141813393886,0.011866265948719998,0.057763464567879896
上证5年期国债指数,-0.09433135065756595,-0.004281089833224023,0.12779363586243273,0.045905397138155314,0.03403424447765418,-0.07263833156265506
上证10年期国债指数(净价),-0.044033692430535086,-0.024653642729152384,0.11647058748357327,0.0008966292801785317,0.061469668133914857,-0.06557356810614373
中债-30年期国债指数,-0.041231874287911,-0.053381209861666244,0.04851813174272172,-0.08494995794656555,0.004249951958243693,-0.0713942887525501
中债-中高等级公司债利差因子指数,-0.09113429712513572,-0.052157921619944744,0.06955865237879942,-0.06881746671376053,0.007925573212578417,-0.14558071678194365
上证基准做市公司债指数,0.10030174525741178,0.0037523586444683115,0.020626512412113798,-0.10920151914450126,0.1247073985025675,-0.05475786777614677
中证可转债及可交换债券指数,-0.02157747344001925,-0.17218805600101142,-0.2015636347308753,4.952873911368007e-05,-0.017201771591946618,0.07703207830233948
上海期货交易所有色金属期货价格指数,-0.005378396223466426,-0.05072130923066058,-0.08312534697647993,-0.07548513230741513,-0.04491699862377825,0.03852164441616831
大连商品交易所豆粕期货价格指数,0.07869434663897527,0.003113275209017654,0.05738812693012627,-0.0006184500122231809,-0.004905135316947174,-0.028551970169081616
易盛能化A,-0.002575569462397557,-0.03432706900934677,-0.03441208918976798,-0.04309529031836254,-0.03530195619193033,0.058041274276957246
SGE黄金999,-0.07475925543019103,-0.0055799978674461225,-0.025301119965252878,-0.031714728371300474,0.04618363806144379,0.08094881642560091
