,CN_Growth_PMI_neworder_Change,CN_Growth_yield_spread_Change,CN_Growth_TSF_yoy_Change,CN_Growth_industrial_Change,CN_Growth_commodity_Change,CN_Growth_export_Change,CN_Growth_real_estate_Change,CN_Inflation_CPI_Change,CN_Inflation_PPI_Change,CN_Inflation_commodity_Change,CN_Inflation_PMI_price_Change,CN_Inflation_FX_Change,CN_Inflation_pig_Change,US_Inflation_BEI_Change,US_Inflation_commodity_Change,US_Inflation_official_Change,US_Inflation_FX_Change,US_Growth_ISM_Change,US_Growth_yield_curve_Change,US_Growth_copper_gold_Change,CN_RiskAppetite_AAA_spread_Change,CN_RiskAppetite_AA_spread_Change,CN_Monetary_DR007_Change,CN_Monetary_Shibor_3M_Change,CN_Monetary_R007_Change
沪深300指数,0.2232959421052589,0.07436321411511453,-0.0849459217415266,0.030983044105216052,0.010978148821311342,0.056193166161476994,0.03658817784770637,0.06237424547283702,-0.06999001102232019,0.2669868838672924,0.18959079636263435,0.008971829874536416,0.03046634146610548,0.18866062712809384,0.20268799338089682,-0.13532945839776747,0.27546930526544233,0.10922430421603747,-0.008390869736792107,0.3210724172410705,0.0803980312099191,0.0578351676956326,0.02188851726818782,0.02906694078227141,0.0006298686600978412
中证小盘500指数,0.2700590168000288,0.03012422268103733,-0.08207667401488013,0.06533737755457213,-0.04965005561131758,0.07208252962248553,0.04345142826140032,0.09694336230146838,-0.03597926426012676,0.19790508097550388,0.20288130338936347,0.0667718772192851,0.01516183156132287,0.18763826009408988,0.08402734449176681,-0.06798912174052152,0.13454208827279385,0.1231227610912097,0.009738766572667985,0.22494278856120814,0.02750918527132452,0.010548392648179594,-0.008337985838990258,0.06207763308900185,-0.038228704208764674
中证1000指数,0.28654083706810535,0.03689422527934222,-0.0743696610636539,0.07505593953557754,-0.0793970241163226,0.08336490768806834,0.0439312454222391,0.09869429342009504,-0.0068923945990631025,0.17566394487697692,0.1869230504271149,0.11680738578079382,0.02855372924175278,0.20241765219261823,0.08140784797764697,-0.02623580227163654,0.09988165640343977,0.10827535133645633,-0.01464460241494076,0.1774696924548879,0.027015800191881968,0.0007782226513725684,0.005410820597642614,0.06621043375145622,-0.05509358593687565
上证科创板50成份指数,0.14606260324820788,-0.10987241715909243,0.08078263796353127,0.032231499228960236,0.09850061460320289,0.04282615805501004,0.032622923041995655,0.07436872921865202,-0.07343939369491694,0.0913094720191482,0.05471139005650362,-0.012287782519531873,0.043182769092869104,0.10606476648878492,0.026309343620740853,0.026676153813604626,0.09261509099135826,-0.018089503832501342,-0.05063297827974221,-0.032417196974402956,0.009026301183790627,0.09614866533489524,0.04700336173881429,0.03197771165094637,0.001986226377441463
创业板指数,0.19980805489833686,0.0022922917874557977,-0.15749136721587656,0.04297701478397284,-0.023629923890690283,0.05766100906979657,0.05909261228113859,0.08379639539363842,0.014129358375406543,0.1473491996533128,0.15373341256264192,0.09595991477945238,0.0652551617603653,0.20127407002400344,0.06655612128356513,-0.02808820000644185,0.09589473095598419,0.03976852928407027,-0.06350089076596302,0.16961602841499854,0.05165327790192575,0.025694281371643698,-0.021001497498082472,0.07695297681683806,-0.0831866029283474
标普中国A股大盘红利低波50指数,0.177939936079143,0.06085796600672545,-0.08297395976853128,0.03416289592760181,0.01716151696823373,0.10214246348856434,-0.007794061796381195,0.049411361787747764,-0.019778175806007166,0.2279979247483927,0.10700434003857812,-0.006202162076856308,-0.016581390775998246,0.1736845607742679,0.2452306513306025,-0.1164293713005919,0.18146074654802918,0.16795088178561587,-0.020674533354302475,0.26589257262220456,0.091150774075296,0.06550973159854748,0.105534481589122,-0.01732215711506261,-0.026117084361095954
中证红利质量指数,0.25315524815518337,0.046042121352258325,-0.07994626618903279,0.03893888916513351,0.011200254998236714,0.08535753651143566,0.00771776578140683,0.08603108009760692,-0.09602852025351337,0.2182812033746575,0.1555869385505649,-0.08470764617691154,0.009989290097162215,0.193390134327686,0.1527446219786778,-0.12364066193853428,0.19527710712638688,0.12530828051804904,-0.0065538304642493205,0.22885931898997958,0.10769189034691647,0.10204126614712927,-0.030936118923262354,0.05554229764144066,-0.06053012391427465
上证5年期国债指数,-0.10557751170154245,-0.09892799814855814,-0.02130752273353541,-0.1241683655710805,-0.05534343379540461,-0.01956461835216313,0.13789572199766703,-0.13003125133781412,-0.06781826949572885,-0.28475198708732335,-0.3635298980435382,0.09064152134459086,0.08429942226995907,-0.2220426910294274,-0.18632165043539592,0.019913258323112748,-0.23175338415213087,-0.07793813722788646,0.12985248159253057,-0.24450424735858922,-0.10822766246067539,-0.1448062115405286,-0.2847594350205841,-0.2055421917159744,-0.16243490438943117
上证10年期国债指数(净价),-0.12243047431734838,-0.06616562769818386,-0.011931661614769908,-0.12513052558301427,-0.07114179529609636,-0.04290265913474786,0.08623653799202452,-0.13898283316922813,-0.06021631303389363,-0.2910692971272007,-0.35036339211904105,0.08383965911780952,0.07633833191590174,-0.2200742530087332,-0.2183473265876353,0.03406743809879308,-0.2672327265822098,-0.06881544502617801,0.08810243676859904,-0.26425983720969076,-0.12263586316549609,-0.1705816578531462,-0.2521431962974751,-0.18803268097088055,-0.13037772621769514
中债-30年期国债指数,-0.08984645714403848,-0.09511769958064258,-0.05597272371207966,-0.0075867497907431865,-0.09693293678252804,-0.11903418894425606,0.11213005693796103,-0.1385761376771266,-0.046059164771752405,-0.23359849154786688,-0.24013703991393703,0.11674425944922276,0.09417957396166385,-0.15823613812038811,-0.16512496868730178,0.020664209432933622,-0.14596832213564742,0.009143623948349793,0.06859479653405291,-0.21712288402201818,-0.14035325867565066,-0.16592181657707117,-0.20038298383015138,-0.21902390839099692,-0.1406392431150072
