,CN_Growth_Change,CN_Inflation_Change,US_Inflation_Change,US_Growth_Change,CN_RiskAppetite_Change,CN_Monetary_Change
沪深300指数,0.000672711447029441,-0.07761900387968175,-0.12652311406789224,-0.027407961439375052,-0.04480930915307177,0.06770769318921563
中证小盘500指数,0.007223118879222489,-0.06314652250171678,-0.1517992188149256,-0.055437896661374206,-0.030817936320667774,0.023694499641120616
中证1000指数,0.007746241694987906,-0.05079802473023746,-0.1464647657538261,-0.08453507241052019,-0.00862454325088602,0.00999182510894483
上证科创板50成份指数,-0.06965717548902245,-0.04437398519213854,-0.09701586652881435,-0.07153906983106952,0.07827831456206029,-0.08671965524475318
创业板指数,0.04349887545900267,-0.055299777016407314,-0.1678955992000001,-0.09329710541132416,-0.03536690020653801,0.015396290456281448
标普中国A股大盘红利低波50指数,0.04552655635598595,0.027560174432591077,-0.05755313239468654,-0.026043293224334834,0.02617805627170749,0.14775076773556933
中证红利质量指数,-0.031953356340239776,-0.10761021226714255,-0.18492916409697893,-0.11370747986895686,0.00952382618646882,0.06775318214961355
上证5年期国债指数,-0.06310978143438876,0.0021003643489176695,0.08908921518455826,-0.02644044666640423,-0.0021773494422817024,-0.042331851588771605
上证10年期国债指数(净价),-0.053012986217725815,-0.03521981218316297,0.07434380016358523,-0.05859412930231338,0.00835860744114169,-0.05712363680739777
中债-30年期国债指数,-0.02772905242384822,-0.04989829641881001,0.02335294514433761,-0.12638306307293548,-0.03387595890270269,-0.05936968132475899
中债-中高等级公司债利差因子指数,-0.02719144653219511,0.05459092481753425,0.09331697314744496,-0.1295484261199118,0.042871580117467833,-0.05211599473843045
上证基准做市公司债指数,0.09959697810232704,-0.0336658478367151,-0.014663384881680721,-0.13053342546981295,0.043686288931738135,-0.08325465322234617
中证可转债及可交换债券指数,-0.03320255262939198,-0.07785169730609245,-0.0798024730237461,-0.04623163493375673,-0.0038691910740104338,-0.011192033833290154
上海期货交易所有色金属期货价格指数,-0.04145943091255694,-0.1033233417600541,-0.07259099252436775,-0.06564067003741145,-0.04557507507979982,0.04274769744229759
大连商品交易所豆粕期货价格指数,0.033888437592210566,-0.0565272263482164,0.07034473934597234,-0.026942834392005243,0.00894586835231089,-0.05568109252586831
易盛能化A,0.021371928949774088,-0.053214187300712514,-0.026389709001998888,-0.05779107454500124,-0.02340672520174026,0.0953413618432568
SGE黄金999,-0.07945780682071671,-0.04063124652818784,-0.0639495772590289,0.028373726637711205,0.010318134460310437,0.04972905637963463
