,CN_Growth_Level,CN_Inflation_Level,CN_RiskAppetite_Level,CN_Monetary_Level
沪深300指数,0.010046900133429437,-0.010353713252768421,-0.0025215440628611795,0.0020154950044836448
中证小盘500指数,0.010305135678962183,-0.009171843396937872,-0.003236649086001648,0.00820494659952853
中证1000指数,0.008043444549191054,-0.010631838818407027,-0.003286182187783642,0.009842391440332835
上证科创板50成份指数,0.016903116217615206,-0.008680863411268926,0.005893278357896539,0.016601343889872007
创业板指数,0.01228077937856153,-0.017101542325255074,0.001093786788286019,0.015499613962277226
标普中国A股大盘红利低波50指数,0.006368538393199009,-0.007774732728810676,-0.007121379604831377,-0.008188462769417433
中证红利质量指数,0.010118335219643778,-0.008019736148098248,-0.0006446729286393124,0.004849049004184659
上证5年期国债指数,-0.00047000898754696657,-0.0010471901842548407,0.0008244383243881946,0.0008947823302958534
上证10年期国债指数(净价),0.00019124498258115308,-0.001880609278894085,0.001097529708198632,0.0012850684853637209
中债-30年期国债指数,7.102225247766368e-05,-0.004789849490123118,-0.0003244813655502062,-0.0003973796392334019
中债-中高等级公司债利差因子指数,-0.0003910361792156112,-0.0006745343515588062,0.00020586445955239006,-3.101418510993233e-05
上证基准做市公司债指数,0.0002009918531446711,-0.00028207417898381344,-0.0004126546279362197,-0.00014872488157732048
中证可转债及可交换债券指数,0.006542337648350323,-0.007407091083621552,-0.0002964722369476051,0.00016856602123655926
上海期货交易所有色金属期货价格指数,0.007921241598643977,0.0031919011984045845,-0.0022256987512435118,0.0006429039042292706
大连商品交易所豆粕期货价格指数,0.0009314217387764315,0.0005859431859125761,0.0002750390971840218,0.0009234250477413253
易盛能化A,0.01554986449439673,0.003648853241680638,-0.0053109312938113785,-0.004098843043919132
SGE黄金999,-0.005830694663415035,0.0018018636539104981,0.00035334547102881136,0.004572885797369187
