,CN_Growth_Level,CN_Inflation_Level,CN_RiskAppetite_Level,CN_Monetary_Level
沪深300指数,0.004363757658253583,-0.009556896989483822,-0.004886662783800883,-0.0029991746499729906
中证小盘500指数,0.001101362746897945,-0.009597760805435167,-0.005951022424717375,-0.002148404546274165
中证1000指数,-0.004370431799871971,-0.010082548203167428,-0.006041328296681017,-0.0021584532095622593
上证科创板50成份指数,0.011823342309806544,-0.007340655320325467,0.006717014255642278,0.0195951243909814
创业板指数,0.002611468193679782,-0.017879976881082338,-0.002093299274915412,0.004768274170153041
标普中国A股大盘红利低波50指数,0.0025867766401271837,-0.0069415886876896815,-0.009771523014724537,-0.013133869412971202
中证红利质量指数,-0.0011502819255910781,-0.005753590659414101,-0.003843128969501789,-0.0024554352501940818
上证5年期国债指数,-0.0002592217637889142,-0.0009126315665382785,0.0005914305022754411,5.1564320626058834e-05
上证10年期国债指数(净价),0.00039919210193841456,-0.0017011274280530563,0.0008961448078053048,0.000287207093106261
中债-30年期国债指数,0.000474487039768426,-0.004462497987913705,9.310573420162953e-06,-0.0015176072071204777
中债-中高等级公司债利差因子指数,-0.00043388423947493787,-0.0007046725432360756,0.0001929592206347311,-0.0006258948635572315
上证基准做市公司债指数,0.00012108831746291361,-0.00034011948898926363,-0.0004313428726011229,-0.00039588840678535925
中证可转债及可交换债券指数,0.005625704531891661,-0.00715010363489143,-0.0009889385951297926,-0.0033820741353187233
上海期货交易所有色金属期货价格指数,0.009122042965140041,0.0005616983414808679,-0.0025205525623094513,0.0024329269948224134
大连商品交易所豆粕期货价格指数,0.004291655103203377,-0.0009341881095746544,0.0015669089477154821,0.005353714402951703
易盛能化A,0.009443907508708074,0.002293981016937799,-0.007126668839499837,-0.007719341713365365
SGE黄金999,-0.0030168081668202873,2.947635618605598e-06,-0.0013273849804142305,0.0009825170708294413
