,R2
沪深300指数,0.02325066510565954
中证小盘500指数,0.029962013561933842
中证1000指数,0.033512001885333875
上证科创板50成份指数,0.04976602837722577
创业板指数,0.04376390282192566
标普中国A股大盘红利低波50指数,0.0335497880118063
中证红利质量指数,0.01483943866895776
上证5年期国债指数,0.04464687842220039
上证10年期国债指数(净价),0.049192712134196515
中债-30年期国债指数,0.06315918733497017
中债-中高等级公司债利差因子指数,0.043088049417642216
上证基准做市公司债指数,0.059180951231248
中证可转债及可交换债券指数,0.018471500787922812
上海期货交易所有色金属期货价格指数,0.03243586078772487
大连商品交易所豆粕期货价格指数,0.0004329530007468607
易盛能化A,0.05431910497815484
SGE黄金999,0.01884842954481869
