,R2
沪深300指数,0.025513420712912627
中证小盘500指数,0.02801111908899223
中证1000指数,0.03184200638958401
上证科创板50成份指数,0.05984351298692392
创业板指数,0.04312006806848934
标普中国A股大盘红利低波50指数,0.0479898767839646
中证红利质量指数,0.014073883459815861
上证5年期国债指数,0.02158274464147636
上证10年期国债指数(净价),0.028767998089520685
中债-30年期国债指数,0.04531952808565243
中债-中高等级公司债利差因子指数,0.051940430774801594
上证基准做市公司债指数,0.061900193700788364
中证可转债及可交换债券指数,0.020183628532966402
上海期货交易所有色金属期货价格指数,0.026286910450184497
大连商品交易所豆粕期货价格指数,0.0051104708182260206
易盛能化A,0.03548222495496267
SGE黄金999,0.006654993830033096
