,ResidVar_Monthly,ResidStd_Monthly,ResidStd_Annualized,R2,Nobs
沪深300指数,0.003961251022242977,0.06293847012950805,0.21802525602992814,0.02325066510565954,192.0
中证小盘500指数,0.00501634034888289,0.07082612758638503,0.24534890296594902,0.029962013561933842,192.0
中证1000指数,0.006413184773111424,0.08008236243462992,0.2774134410538485,0.033512001885333875,192.0
上证科创板50成份指数,0.002783370211916031,0.05275765548160789,0.18275787956471912,0.04976602837722577,192.0
创业板指数,0.007967201385638058,0.08925918095993296,0.30920287292917686,0.04376390282192566,192.0
标普中国A股大盘红利低波50指数,0.0030783774354563517,0.055483127484455594,0.19219919153179654,0.0335497880118063,192.0
中证红利质量指数,0.004105608823961566,0.06407502496262929,0.22196239746303606,0.01483943866895776,192.0
上证5年期国债指数,4.6018955746281215e-05,0.006783727275346586,0.023499520611182146,0.04464687842220039,192.0
上证10年期国债指数(净价),7.725529237407785e-05,0.00878949898310921,0.030447717623640264,0.049192712134196515,192.0
中债-30年期国债指数,0.00031128657205647167,0.01764331522295262,0.0611182367602147,0.06315918733497017,192.0
中债-中高等级公司债利差因子指数,1.3678959645163595e-05,0.003698507759240691,0.012812006702385194,0.043088049417642216,192.0
上证基准做市公司债指数,4.542109742380524e-06,0.0021312225933441406,0.007382771627821511,0.059180951231248,192.0
中证可转债及可交换债券指数,0.0018126349642792446,0.042575050960383415,0.1474843027964364,0.018471500787922812,192.0
上海期货交易所有色金属期货价格指数,0.0015574587372633392,0.0394646517438497,0.13670956384671873,0.03243586078772487,192.0
大连商品交易所豆粕期货价格指数,0.002325908038146499,0.04822766880273708,0.1670655453938902,0.0004329530007468607,192.0
易盛能化A,0.003402146786580425,0.05832792458660281,0.20205385776808393,0.05431910497815484,192.0
SGE黄金999,0.0017313417281938635,0.041609394710736464,0.1441391714223665,0.01884842954481869,192.0
