,ResidVar_Monthly,ResidStd_Monthly,ResidStd_Annualized,R2,Nobs
沪深300指数,0.0039128763896528074,0.06255298865484213,0.21668990903093224,0.025513420712912627,191.0
中证小盘500指数,0.005048857944007435,0.07105531608547973,0.246142835215834,0.02801111908899223,191.0
中证1000指数,0.006454424451875229,0.08033943273309334,0.2783039586899596,0.03184200638958401,191.0
上证科创板50成份指数,0.00276861541314249,0.05261763405116663,0.18227283110137363,0.05984351298692392,191.0
创业板指数,0.008014929360840506,0.08952613786398085,0.31012763877166133,0.04312006806848934,191.0
标普中国A股大盘红利低波50指数,0.00300389663905613,0.0548078154924654,0.18985984216962143,0.0479898767839646,191.0
中证红利质量指数,0.004115893460044355,0.06415522940528195,0.22224023380237037,0.014073883459815861,191.0
上证5年期国债指数,4.735872012253078e-05,0.006881767223797299,0.023839140954958284,0.02158274464147636,191.0
上证10年期国债指数(净价),7.923132170674654e-05,0.008901197768095401,0.030834653565119854,0.028767998089520685,191.0
中债-30年期国债指数,0.0003188111001366305,0.017855282135453097,0.061852511684163364,0.04531952808565243,191.0
中债-中高等级公司债利差因子指数,1.3625274583287354e-05,0.003691242959124657,0.012786840696569587,0.051940430774801594,191.0
上证基准做市公司债指数,4.55133526154571e-06,0.0021333858679445945,0.007390265430858929,0.061900193700788364,191.0
中证可转债及可交换债券指数,0.0017723693338452188,0.04209951702627025,0.14583700492722218,0.020183628532966402,191.0
上海期货交易所有色金属期货价格指数,0.0015757392913563677,0.03969558276882162,0.13750953238330937,0.026286910450184497,191.0
大连商品交易所豆粕期货价格指数,0.002327222251076896,0.04824129197147291,0.16711273743471128,0.0051104708182260206,191.0
易盛能化A,0.003488550163627324,0.059063949780109724,0.2046035238296933,0.03548222495496267,191.0
SGE黄金999,0.0017581831010499353,0.041930694020609,0.14525218488063862,0.006654993830033096,191.0
