,CN_Growth_Level,CN_Inflation_Level,CN_RiskAppetite_Level,CN_Monetary_Level
沪深300指数,1.0968043302224888,-1.6797273965834358,-0.5152363586536928,0.2725013053378812
中证小盘500指数,0.9997086960376377,-1.3222756130379825,-0.5877034518450689,0.9857920342445772
中证1000指数,0.690110204005378,-1.3555962613791472,-0.5277289067775527,1.045843736966825
上证科创板50成份指数,2.2013776004504284,-1.6801044812820125,1.436572636647497,2.677693111953878
创业板指数,0.945336192116403,-1.9563260456444993,0.1575926282666685,1.4776481256775138
标普中国A股大盘红利低波50指数,0.788664134150469,-1.4308146875286178,-1.6506664552976997,-1.2558694277117526
中证红利质量指数,1.0850094795378158,-1.2779979314286762,-0.1293918052837799,0.6439777051094111
上证5年期国债指数,-0.47604831909747214,-1.5762171111225636,1.5629529874374049,1.122411383282139
上证10年期国债指数(净价),0.14949930818269186,-2.1847075482228844,1.6058622432528133,1.2441283773468372
中债-30年期国债指数,0.0276584285555685,-2.7720466095656304,-0.236518812726326,-0.19165866587222835
中债-中高等级公司债利差因子指数,-0.7264465403011446,-1.862243179191093,0.7158317629767563,-0.07135704936850577
上证基准做市公司债指数,0.6479819314708216,-1.3514294416818504,-2.490084192477352,-0.5938241603151406
中证可转债及可交换债券指数,1.0558227871852066,-1.7764433536988888,-0.089553997479915,0.033691310378100414
上海期货交易所有色金属期货价格指数,1.3791078735896525,0.8258478070758993,-0.7252942427872663,0.13862476772834942
大连商品交易所豆粕期货价格指数,0.1326976870954277,0.12405609119728107,0.07334225972214212,0.16293276355928846
易盛能化A,1.8317379290077116,0.6387614930291692,-1.1709821694404143,-0.5979815817503228
SGE黄金999,-0.9628134627045744,0.442170110082496,0.10921046435892556,0.9351946213389225
