,CN_Growth_Level,CN_Inflation_Level,CN_RiskAppetite_Level,CN_Monetary_Level
沪深300指数,0.478971924213498,-1.5595739952933254,-1.0017416718068932,-0.4028727313805953
中证小盘500指数,0.10642197253213505,-1.3788292598863854,-1.073955892771059,-0.2540584637050586
中证1000指数,-0.37350213104496477,-1.2810871955178849,-0.964262128342161,-0.22575015555038558
上证科创板50成份指数,1.5427886840613727,-1.4241005707544925,1.636953670622749,3.1291824739174587
创业板指数,0.20027760470345587,-2.038704341354486,-0.29982849701590114,0.4475335000456613
标普中国A股大盘红利低波50指数,0.3240514248446923,-1.2928660420197118,-2.2861841054319245,-2.01355910398996
中证红利质量指数,-0.12310331016265813,-0.9154698434854185,-0.7681469862078945,-0.32159597498870424
上证5年期国债指数,-0.25862409280549253,-1.3537318662860565,1.1020344595840994,0.0629598235570353
上证10年期国债指数(净价),0.307915100160767,-1.950857470177023,1.290984942160625,0.27111958534775976
中债-30年期国债指数,0.1824547335330253,-2.55122322997846,0.006686535372924926,-0.7141786186129206
中债-中高等级公司债利差因子指数,-0.8070468390774163,-1.9487308606440275,0.6703233363760913,-1.4247640110789948
上证基准做市公司债指数,0.3896999303988186,-1.6274184990636706,-2.5926545033256856,-1.5592564553719146
中证可转债及可交换债券指数,0.9174814720533391,-1.733693685506944,-0.3012198910145126,-0.6750255170247448
上海期货交易所有色金属期货价格指数,1.5777835679600503,0.1444435334184402,-0.8142260829874548,0.5149927030908241
大连商品交易所豆粕期货价格指数,0.6108061201801256,-0.19767536495848875,0.4165012071838103,0.9325034559638514
易盛能化A,1.097808872331754,0.3964646569155752,-1.5472323124939629,-1.0981760317181186
SGE黄金999,-0.49398429496715324,0.000717594149750659,-0.40593479869098065,0.19688935426932636
