,CN_Growth_PMI_neworder_Change,CN_Growth_yield_spread_Change,CN_Growth_TSF_yoy_Change,CN_Growth_industrial_Change,CN_Growth_commodity_Change,CN_Growth_export_Change,CN_Growth_real_estate_Change,CN_Inflation_CPI_Change,CN_Inflation_PPI_Change,CN_Inflation_commodity_Change,CN_Inflation_PMI_price_Change,CN_Inflation_FX_Change,CN_Inflation_pig_Change,US_Inflation_BEI_Change,US_Inflation_commodity_Change,US_Inflation_official_Change,US_Inflation_FX_Change,US_Growth_ISM_Change,US_Growth_yield_curve_Change,US_Growth_copper_gold_Change,CN_RiskAppetite_AAA_spread_Change,CN_RiskAppetite_AA_spread_Change,CN_Monetary_DR007_Change,CN_Monetary_Shibor_3M_Change,CN_Monetary_R007_Change
沪深300指数,0.013822010864472111,0.003320500859167007,-0.003976773437031082,0.0014902282868428417,-0.0015690269857637526,0.004107745606885408,0.004122679640524861,-0.002058437340013352,-0.005252577610530565,0.014759345421351593,0.011208215122707543,0.003660712909843304,0.0007558064410292463,0.010200730524551796,0.009516100476024286,-0.010559704777572029,0.012895334564995982,0.00391529722014973,0.0007749970058593036,0.01458314482074659,0.007626099563807979,0.003871951389890457,-0.000320659869985627,0.001957985160477616,-0.0020629318424409274
中证小盘500指数,0.019441561875226977,0.0011791534024659521,-0.007496214280038426,0.005302331759287907,-0.003739428377675341,0.005682440070508454,0.0037995889996040775,0.004543791718628817,-0.002343612314942649,0.0157876128266691,0.014359463092018307,0.005758947112507936,-0.00042073477312063313,0.014600680667989748,0.009660322415180958,-0.007361911566071188,0.008223312253762181,0.006342813268074642,-0.0009008343058192808,0.01413496138786884,0.00548183390305634,0.00182201001981647,-0.0007043576544001986,0.0003209393048400882,-0.006617887305509374
中证1000指数,0.023645150347318115,0.002146541210358297,-0.009392456907931203,0.006322903959094446,-0.0058569247432774555,0.005889584954603892,0.0037876361929874407,0.005516622413592699,-0.0012549314926955492,0.016250491774248796,0.014675361579388167,0.007530787495755492,0.0005613424712258264,0.01569397771634437,0.010544292257488916,-0.006052427294220491,0.007759546302779829,0.005723204962145733,-0.0014560278612865511,0.013174962351272102,0.0054211321224551905,0.0014897496119105336,-0.00035705238406552164,0.00020380650103481559,-0.007223826176223197
上证科创板50成份指数,0.008529031178417128,-0.004690939241545799,0.005301200721747825,0.006307672959288347,0.0018688461089907923,0.0024722272508869527,-0.0003916155254287363,0.004829710802751745,-0.0005030537797424111,0.0003852057305127304,0.003101929383629328,0.008043177777035027,0.006046776643338229,0.00512707300827759,-0.002210806253447482,0.0027567033473831614,0.0055224385969036794,0.003552776707964071,-0.004563787346930591,-0.004400762355938894,0.004706554917681567,0.006362955092014862,0.004771412892389669,0.002150293417949912,0.0028490280788655608
创业板指数,0.018777425840277744,0.00028890125026946774,-0.010734971677148698,0.00830771120287031,-0.0057572052173509875,0.0027158128856868856,-5.0919245929369715e-06,0.005020175876469617,-0.0007631464074137175,0.014121608436236494,0.014991556251751477,0.010689950515204017,0.004412587229756964,0.017559029651520848,0.008375945623595641,-0.005077827261320651,0.00685830545929092,0.004624386640514403,-0.004845885842606883,0.012287037293981246,0.007519521158555259,0.004816307768483412,-0.0016554002540113749,0.002414884874187135,-0.00784739438556502
标普中国A股大盘红利低波50指数,0.008019066274636472,0.0015159699993897455,-0.0032255436244412235,0.00025637249936828397,-0.0013107366109269612,0.006358589461590574,0.004835047871624027,-0.0024075325829543168,-0.003816046950650416,0.010432477737742224,0.005553275499360473,0.0008113475679889297,-0.0024243529588188232,0.006590930284994677,0.007951953154837633,-0.009023024576130554,0.0061885608778294516,0.003943358637543202,0.000249676114772536,0.011014287124354823,0.006034936562854228,0.0037887650618065125,0.001385191765833493,-2.1674070427442262e-05,-0.002870505447433374
中证红利质量指数,0.017767878637963003,0.0024727232177163645,-0.004832676427271807,0.0038528680382044597,-0.0005723199041179361,0.006790093956202722,0.00035151032797378396,0.0010878644614094924,-0.00432928118257523,0.01536054677043331,0.011435865349618058,-0.001406990076942023,0.0009955738154977928,0.0128813481897554,0.011731262068355286,-0.00877674688348284,0.01119002777399416,0.006542402252102975,-0.001121350023580805,0.012984640385052797,0.008750721412431793,0.0058039459453432364,0.0009755140107296093,0.001999520268932036,-0.0047386401488455155
上证5年期国债指数,-0.0007712147405807687,-0.0007855380646159891,-0.00022942799826681788,-0.0009431539450637262,-0.0006220746089908296,-0.0006132577763798774,0.0005539418358446132,-0.000668717456351442,-0.0004476586138471821,-0.0024377866050426704,-0.0023483139954034544,0.000378271459868182,0.00042593567503525,-0.001619938776598099,-0.001651374709943385,6.375488855154523e-05,-0.0015630438117738628,-0.001220731658612051,0.000805425950983756,-0.0015325539201609289,-0.000577342217131106,-0.0006624658539329156,-0.001991427468602418,-0.0016744288835256486,-0.0009265819049671671
上证10年期国债指数(净价),-0.0012160630124526217,-0.00047494094693451716,-0.00036601768437874096,-0.0010226361707871947,-0.000763375543740538,-0.0007958575887075559,0.0007808099360553091,-0.00071587682083827,-0.0005009320320609944,-0.003090904803367445,-0.0028182073404447033,0.0008058109655064023,0.0005298356821568217,-0.002052556476567429,-0.0021394391093393266,0.0002875625636275407,-0.0021336558024740906,-0.0009461280764931586,0.0010613034424542087,-0.0022018644738495785,-0.0009702209795042666,-0.0011335735182708758,-0.0020257049950260083,-0.0018823116168248252,-0.0008206761195376855
中债-30年期国债指数,-0.0018457712309163578,-0.0008239165846526493,-0.001093968916321556,-0.00038167427763775706,-0.0020780068425605815,-0.003304041910266266,0.0015485890094233206,-0.002325349526157281,-0.00126105748569528,-0.005015155602107545,-0.004039416785829527,0.00209320273026829,0.0012423817612320644,-0.003265662583954993,-0.003187974483115521,0.000636811288770115,-0.002352618758521459,-0.00032638468416010757,0.001970124273404549,-0.00415482716469243,-0.002789729696288758,-0.002939648336751042,-0.003333769709960307,-0.0038761770298776487,-0.0022806267906818997
