,CN_Growth_Change,CN_Inflation_Change,US_Inflation_Change,US_Growth_Change,CN_RiskAppetite_Change,CN_Monetary_Change
沪深300指数,-0.3032059767905717,-1.5153104236619719,-2.5519129555699,-0.8303445430161828,-0.5356020382557107,0.7974372279645732
中证小盘500指数,-0.018208038514666992,-0.884768659394611,-2.3943540763695577,-1.4596930109872932,-0.542417234600609,0.4442596174616514
中证1000指数,-0.14993844427612035,-0.7010481730663695,-2.2970232659116143,-1.7133334610999273,-0.3861164997449395,0.3917333971710461
上证科创板50成份指数,-0.30908541842451576,-0.5715164449706287,-0.3239032114180509,-1.9222907746254279,0.987019758453634,-2.0201527087963913
创业板指数,-0.09260953095502972,-1.010366877025347,-2.407990231277676,-1.8750825840301155,-0.7113951500496318,-0.10931684215690479
标普中国A股大盘红利低波50指数,0.7817945245050747,-0.6798982620622357,-2.0422846472815492,0.21239681215989858,0.0472817373359699,1.8461876669151125
中证红利质量指数,-0.6169118618550015,-1.623605250877125,-2.846030598176689,-2.0602544315640334,0.16271349758799467,0.7933373608707072
上证5年期国债指数,-1.2991996342415664,-0.05869988434003014,1.7667036475986038,0.6300873375239846,0.46692455411693956,-0.9986045904692753
上证10年期国债指数(净价),-0.6043457594160007,-0.33813649404025364,1.6079074285977715,0.012293966240851535,0.8444264773248545,-0.9010387396242511
中债-30年期国债指数,-0.5658241514975513,-0.7329713394971449,0.6660314901503964,-1.1690008219588197,0.058272931655925786,-0.9814135670214257
中债-中高等级公司债利差因子指数,-1.25479220469908,-0.7161281489761768,0.9560558881553456,-0.9458198499578941,0.10867339810889198,-2.0175969373660982
上证基准做市公司债指数,1.3822387838454726,0.051450111821696495,0.2828766711846978,-1.5063040471525833,1.7233549639271828,-0.7519302053760419
中证可转债及可交换债券指数,-0.2959243074371013,-2.396720869158332,-2.821613752637996,0.0006791038571463297,-0.23589371226721115,1.0593584057752812
上海期货交易所有色金属期货价格指数,-0.07374592026158662,-0.6963518660122856,-1.1437156208642,-1.037961368281957,-0.6164930692116972,0.5285745034814083
大连商品交易所豆粕期货价格指数,1.0823591408627866,0.04268728589141974,0.7881652938094171,-0.008479760964503025,-0.06725663611648937,-0.39164456108883544
易盛能化A,-0.03531454639781787,-0.4709466083500407,-0.47211441496077533,-0.5914423204270525,-0.4843379285974931,0.797165732565018
SGE黄金999,-1.0279237970869344,-0.07651026723587365,-0.34702256942293624,-0.4350693035376442,0.6339145495341448,1.113568694768739
