,CN_Growth_Change,CN_Inflation_Change,CN_RiskAppetite_Change
沪深300指数,0.017787704332019386,-0.003939233105797315,0.006841512682614451
中证小盘500指数,0.02319034123711261,0.0051845309606558115,0.004603466193375284
中证1000指数,0.027273615134783734,0.006333919110247971,0.0044746334538993725
上证科创板50成份指数,0.012926770486073238,0.0032902819009281905,0.006670407898488471
创业板指数,0.022201035863627854,0.007386631527739432,0.007468713946074356
标普中国A股大盘红利低波50指数,0.01340294975298387,-0.005179967482391443,0.005833894302545535
中证红利质量指数,0.022378891736231817,-0.000908768226426182,0.008722292469930152
上证5年期国债指数,-0.0009940055660291086,-0.001950784027115082,-0.000732225903715591
上证10年期国债指数(净价),-0.001425339533307848,-0.0021909328270699416,-0.0012363462889609404
中债-30年期国债指数,-0.0017014441850347274,-0.004901049575580948,-0.0033008443954436737
中债-中高等级公司债利差因子指数,-0.0002825230032859041,-0.0005728285384137958,-0.000771561068783199
上证基准做市公司债指数,9.29767541938938e-06,0.00016005545083479358,-0.00011877986308786139
中证可转债及可交换债券指数,0.0006960759559299192,-0.007169734983204367,0.00041715649039139125
上海期货交易所有色金属期货价格指数,0.0014804161187706602,0.012496828127963322,0.0051278865794554505
大连商品交易所豆粕期货价格指数,0.00500828265470891,0.0018920123652658057,0.003223899491460012
易盛能化A,0.00576780863735498,0.018575960434641804,0.00257014123340247
SGE黄金999,-0.010497178585443637,0.004378407681597785,0.002520307328216211
