,R2
沪深300指数,0.03374072747578338
中证小盘500指数,0.042102538857901384
中证1000指数,0.044417213163043034
上证科创板50成份指数,0.03747176800812335
创业板指数,0.03138753672700745
标普中国A股大盘红利低波50指数,0.02785591465295778
中证红利质量指数,0.05383994891075139
上证5年期国债指数,0.06382494341551581
上证10年期国债指数(净价),0.06354814686494037
中债-30年期国债指数,0.07856325324722135
中债-中高等级公司债利差因子指数,0.06128837465262249
上证基准做市公司债指数,0.005958481972850427
中证可转债及可交换债券指数,0.013124466671573631
上海期货交易所有色金属期货价格指数,0.06774196814599998
大连商品交易所豆粕期货价格指数,0.009469129658113418
易盛能化A,0.05667910723395542
SGE黄金999,0.024312240852553457
