,R2
沪深300指数,0.004204510503094339
中证小盘500指数,0.002360698386125737
中证1000指数,0.006353865101725198
上证科创板50成份指数,0.019115274308418195
创业板指数,0.004005094290336131
标普中国A股大盘红利低波50指数,0.009459128998748012
中证红利质量指数,0.0020921967184325263
上证5年期国债指数,0.0374992751348312
上证10年期国债指数(净价),0.030861545013374903
中债-30年期国债指数,0.0446802869081846
中债-中高等级公司债利差因子指数,0.02315809412496561
上证基准做市公司债指数,0.02666420925908053
中证可转债及可交换债券指数,0.012320885258583103
上海期货交易所有色金属期货价格指数,0.0044128628263931935
大连商品交易所豆粕期货价格指数,0.0027598568817435165
易盛能化A,0.004046094196434313
SGE黄金999,0.016645336897756824
