,ResidVar_Monthly,ResidStd_Monthly,ResidStd_Annualized,R2,Nobs
沪深300指数,0.0038978639087101532,0.062432875223796584,0.21627382390044764,0.03374072747578338,192.0
中证小盘500指数,0.004927209550142932,0.07019408486577008,0.24315944275663076,0.042102538857901384,192.0
中证1000指数,0.006307094858205539,0.07941722016165977,0.27510932063175625,0.044417213163043034,192.0
上证科创板50成份指数,0.0028043851340622604,0.05295644563282415,0.18344650884862082,0.03747176800812335,192.0
创业板指数,0.008027391995953244,0.0895957141606296,0.3103686581332576,0.03138753672700745,192.0
标普中国A股大盘红利低波50指数,0.0030800429797641737,0.055498134921492394,0.19225117881867482,0.02785591465295778,192.0
中证红利质量指数,0.00392210228145139,0.06262668984906826,0.21694521745688858,0.05383994891075139,192.0
上证5年期国债指数,4.485528861443701e-05,0.006697409097138759,0.023200505670636664,0.06382494341551581,192.0
上证10年期国债指数(净价),7.568415199717223e-05,0.008699663901391376,0.030136519771965485,0.06354814686494037,192.0
中债-30年期国债指数,0.00030453966800229686,0.017451064953242734,0.060452262290402015,0.07856325324722135,192.0
中债-中高等级公司债利差因子指数,1.3347411303892123e-05,0.003653410913638394,0.012655786646696658,0.06128837465262249,192.0
上证基准做市公司债指数,4.7735316040871106e-06,0.0021848413224046983,0.007568512353761822,0.005958481972850427,192.0
中证可转债及可交换债券指数,0.0018128153844090757,0.042577169755739705,0.14749164251885227,0.013124466671573631,192.0
上海期货交易所有色金属期货价格指数,0.001492645502340363,0.03863477063915823,0.13383477137158473,0.06774196814599998,192.0
大连商品交易所豆粕期货价格指数,0.0022926216101631577,0.04788132840850552,0.16586578707484523,0.009469129658113418,192.0
易盛能化A,0.003375605164796145,0.05809995838893643,0.20126415969455103,0.05667910723395542,192.0
SGE黄金999,0.001712542297277916,0.041382874444363046,0.14335448220176092,0.024312240852553457,192.0
