,ResidVar_Monthly,ResidStd_Monthly,ResidStd_Annualized,R2,Nobs
沪深300指数,0.003977056479427019,0.06306390789847248,0.2184597852079971,0.004204510503094339,191.0
中证小盘500指数,0.0051543836645871624,0.07179403641380781,0.24870183749833039,0.002360698386125737,191.0
中证1000指数,0.006588922077421078,0.08117217551243208,0.28118866429686123,0.006353865101725198,191.0
上证科创板50成份指数,0.002873106963806344,0.05360137091349758,0.18568059555504482,0.019115274308418195,191.0
创业板指数,0.008297947970189515,0.09109307311859402,0.3155556617179831,0.004005094290336131,191.0
标普中国A股大盘红利低波50指数,0.0031087597185399467,0.05575625273043326,0.1931453251375227,0.009459128998748012,191.0
中证红利质量指数,0.004143635163705282,0.06437107396731301,0.22298794129832084,0.0020921967184325263,191.0
上证5年期国债指数,4.633917063140434e-05,0.006807288052624506,0.02358113753780449,0.0374992751348312,191.0
上证10年期国债指数(净价),7.863775039213043e-05,0.008867792870389477,0.03071893560502325,0.030861545013374903,191.0
中债-30年期国债指数,0.00031731855799987794,0.01781343756830438,0.061707557851518754,0.0446802869081846,191.0
中债-中高等级公司债利差因子指数,1.3963852637377208e-05,0.0037368238702643196,0.012944737604467944,0.02315809412496561,191.0
上证基准做市公司债指数,4.697035173500794e-06,0.0021672644447553683,0.0075076242635077,0.02666420925908053,191.0
中证可转债及可交换债券指数,0.0017770381172712239,0.04215492992843451,0.14602896085110884,0.012320885258583103,191.0
上海期货交易所有色金属期货价格指数,0.0016025218907329624,0.040031511222197974,0.13867322268122115,0.0044128628263931935,191.0
大连商品交易所豆粕期货价格指数,0.002320246309538002,0.048168935109030614,0.16686208591065863,0.0027598568817435165,191.0
易盛能化A,0.0035829876683439133,0.059858062684519896,0.2073544116244623,0.004046094196434313,191.0
SGE黄金999,0.0017311930818824433,0.041607608461463434,0.14413298367337476,0.016645336897756824,191.0
