,CN_Growth_Change,CN_Inflation_Change,CN_RiskAppetite_Change
沪深300指数,2.0828038740207013,-0.5813592621213625,1.5938333117011934
中证小盘500指数,2.415174048863802,0.6805424287681191,0.9538685739870675
中证1000指数,2.510555560920773,0.7348591094781147,0.8194960846089958
上证科创板50成份指数,1.7844854887365391,0.5724802798599881,1.8320514376743715
创业板指数,1.811456100450768,0.7596358467248856,1.2124467946162731
标普中国A股大盘红利低波50指数,1.7654841048128167,-0.8599929595468246,1.5289182584837122
中证红利质量指数,2.6122872366713583,-0.13370262302945196,2.025700739239531
上证5年期国债指数,-1.084985163103025,-2.6837905173185286,-1.5901656217700053
上证10年期国债指数(净价),-1.1977265236094492,-2.3204533331012462,-2.0670060798776153
中债-30年期国债指数,-0.7127505854097178,-2.5876969347897756,-2.751105315001394
中债-中高等级公司债利差因子指数,-0.5653235835543216,-1.444682378401562,-3.0716793869606334
上证基准做市公司债指数,0.031109733489819182,0.6749891916892378,-0.7907278192141348
中证可转债及可交换债券指数,0.11951479040764716,-1.5515742547693416,0.14250375722557382
上海期货交易所有色金属期货价格指数,0.2801220380951337,2.9803530232898288,1.9304749541070447
大连商品交易所豆粕期货价格指数,0.7646530960199376,0.3640860425760704,0.979308224778293
易盛能化A,0.7257329349073786,2.9459251414454406,0.643406237584225
SGE黄金999,-1.854358687322536,0.9748589753596125,0.8858025943929589
