,CN_Monetary_Change,CN_Inflation_Change,CN_RiskAppetite_Change
沪深300指数,-0.47877195043052867,-0.7187469098706666,-0.4703837449951028
中证小盘500指数,0.01888842945932275,0.6543992488270374,0.05916282193508248
中证1000指数,0.02883958943195413,1.028694939258532,0.33131416200948743
上证科创板50成份指数,1.4028831543459184,0.9613997278793281,1.325537842186884
创业板指数,0.5105936366853027,0.7739894898858717,0.21258701276225375
标普中国A股大盘红利低波50指数,-1.0478860860402224,-0.9953720057980135,-0.35261929731838365
中证红利质量指数,-0.06726784533364824,-0.2030029816929285,0.568402968023691
上证5年期国债指数,1.7202661607614977,-1.4714045576559986,-0.6580205464947831
上证10年期国债指数(净价),1.36757456834592,-1.6558819193573535,-0.28124625758289656
中债-30年期国债指数,0.9254265217374249,-2.5261720067695848,-0.4008993519488858
中债-中高等级公司债利差因子指数,1.0883026761852528,-1.3872571725120422,-0.5742931154452531
上证基准做市公司债指数,1.8834770467375597,0.37476570280336946,1.5859688400119927
中证可转债及可交换债券指数,-0.23124246067046872,-1.4793199398608128,-0.41420243676637075
上海期货交易所有色金属期货价格指数,-0.36841017561064554,0.7474856271423912,-0.11981864659412034
大连商品交易所豆粕期货价格指数,0.31655712314217843,-0.3346226347145424,0.556912928439052
易盛能化A,-0.566525735485213,0.5406224863305523,-0.18047617352599515
SGE黄金999,-1.0187105343331342,0.6622106419138013,0.9606900382498983
