,R2
沪深300指数,0.011724931085252521
中证小盘500指数,0.0051856888608723395
中证1000指数,0.0037294036711644774
上证科创板50成份指数,0.018702702912913427
创业板指数,0.007840397147067524
标普中国A股大盘红利低波50指数,0.011214213446616994
中证红利质量指数,0.018677196338763635
上证5年期国债指数,0.09053389020411351
上证10年期国债指数(净价),0.06621027406317859
中债-30年期国债指数,0.07456411512407901
中债-中高等级公司债利差因子指数,0.13271006968302923
上证基准做市公司债指数,0.0216539003378714
中证可转债及可交换债券指数,0.012741945813410815
上海期货交易所有色金属期货价格指数,0.030718237079168764
大连商品交易所豆粕期货价格指数,0.004688914425462709
易盛能化A,0.006031731047032585
SGE黄金999,0.008202323076196505
