,R2
沪深300指数,0.020055041519106864
中证小盘500指数,0.02103870653164619
中证1000指数,0.02623193640053678
上证科创板50成份指数,0.010230753007222204
创业板指数,0.03979151279849702
标普中国A股大盘红利低波50指数,0.017295810332679018
中证红利质量指数,0.01084985093170554
上证5年期国债指数,0.01279186742573546
上证10年期国债指数(净价),0.01847011077502192
中债-30年期国债指数,0.04144172187931949
中债-中高等级公司债利差因子指数,0.02537568955839098
上证基准做市公司债指数,0.027927352564230956
中证可转债及可交换债券指数,0.017734785961917354
上海期货交易所有色金属期货价格指数,0.015538332880899564
大连商品交易所豆粕期货价格指数,0.0003659642296504062
易盛能化A,0.022679895243158166
SGE黄金999,0.004356495431516394
