,ResidVar_Monthly,ResidStd_Monthly,ResidStd_Annualized,R2,Nobs
沪深300指数,0.003965581520302146,0.06297286336432659,0.21814439769021285,0.011724931085252521,192.0
中证小盘500指数,0.005090026929602748,0.07134442465675049,0.2471443366845232,0.0051856888608723395,192.0
中证1000指数,0.006540853207877325,0.08087554146883547,0.2801610938273334,0.0037294036711644774,192.0
上证科创板50成份指数,0.0028439426039642873,0.0533286283713006,0.18473578767410348,0.018702702912913427,192.0
创业板指数,0.008179033810216257,0.0904380108705198,0.31328645952641343,0.007840397147067524,192.0
标普中国A股大盘红利低波50指数,0.0031161933657968765,0.05582287493310315,0.19337611121739548,0.011214213446616994,192.0
中证红利质量指数,0.004046338804292576,0.06361083873281798,0.220354409194622,0.018677196338763635,192.0
上证5年期国债指数,4.334501475373419e-05,0.006583693093829192,0.02280658187990498,0.09053389020411351,192.0
上证10年期国债指数(净价),7.50696916844696e-05,0.00866427675484051,0.03001393510044351,0.06621027406317859,192.0
中债-30年期国债指数,0.00030424308977789366,0.01744256545860997,0.0604228191773168,0.07456411512407901,192.0
中债-中高等级公司债利差因子指数,1.2266628038306093e-05,0.003502374628492231,0.01213258160737743,0.13271006968302923,192.0
上证基准做市公司债指数,4.673301938671852e-06,0.002161782120999212,0.0074886329369292905,0.0216539003378714,192.0
中证可转债及可交换债券指数,0.0018039227125888262,0.0424726113229317,0.1471294414828858,0.012741945813410815,192.0
上海期货交易所有色金属期货价格指数,0.0015437132421536276,0.03929011634181843,0.13610495547864349,0.030718237079168764,192.0
大连商品交易所豆粕期货价格指数,0.002291496788567972,0.04786958103606059,0.16582509298298512,0.004688914425462709,192.0
易盛能化A,0.003538023838890785,0.05948128982201702,0.20604923214292603,0.006031731047032585,192.0
SGE黄金999,0.0017316079941607418,0.041612594177252896,0.14415025469949366,0.008202323076196505,192.0
