,CN_Growth_Level,CN_Inflation_Level
沪深300指数,0.6874058124518426,-1.8885676682680517
中证小盘500指数,0.21313809969505562,-1.7389616145334401
中证1000指数,-0.32210018164541715,-1.6073912702032138
上证科创板50成份指数,0.3163080766311133,-1.2824906069042517
创业板指数,0.016319344225625806,-2.2623130860732137
标普中国A股大盘红利低波50指数,1.1972199524056182,-1.8121786895956855
中证红利质量指数,-0.003196309024359457,-1.1570866856927946
上证5年期国债指数,-0.294090947078574,-1.063460686452781
上证10年期国债指数(净价),0.23450132233902854,-1.6446341341999715
中债-30年期国债指数,0.5162308268020374,-2.567702006080957
中债-中高等级公司债利差因子指数,-0.23854242862420047,-1.634344837726855
上证基准做市公司债指数,1.062994321849415,-2.2956226276703777
中证可转债及可交换债券指数,1.2993161225454255,-1.8213668308670417
上海期货交易所有色金属期货价格指数,1.4803864343107969,-0.16323257190142346
大连商品交易所豆粕期货价格指数,0.2605985118025751,-0.178280985988146
易盛能化A,1.6574822452645896,0.04716634227766608
SGE黄金999,-0.6339687534995895,-0.14914993498289464
