ETF代码,ETF名称,Index代码,Index名称,资产类别,是否调用回测[Y/N]
510300.SH,沪深300ETF,000300.SH,沪深300指数,Stock,Y
510050.SH,上证50ETF,000016.SH,上证50指数,Stock,Y
510500.SH,中证500ETF,000905.SH,中证小盘500指数,Stock,Y
159915.SZ,创业板ETF,399006.SZ,创业板指数,Stock,Y
512100.SH,中证1000ETF,000852.SH,中证1000指数,Stock,Y
588000.SH,科创50ETF,000688.SH,上证科创板50成份指数,Stock,Y
515450.SH,红利低波50ETF,SPCLLHCP.SPI,标普中国A股大盘红利低波50指数,Stock,Y
159758.SZ,红利质量ETF,931468.CSI,中证红利质量指数,Stock,Y
512880.SH,证券ETF,399975.SZ,中证全指证券公司指数,Stock,Y
159928.SZ,消费ETF,000932.SH,中证主要消费指数,Stock,Y
512480.SH,半导体ETF,H30184.CSI,中证全指半导体产品与设备指数,Stock,Y
512800.SH,银行ETF,399986.SZ,中证银行指数,Stock,Y
512660.SH,军工ETF,399967.SZ,中证军工指数,Stock,Y
512010.SH,医药ETF,000913.SH,沪深300医药卫生指数,Stock,Y
512400.SH,有色金属ETF,000819.SH,中证申万有色金属指数,Stock,Y
515220.SH,煤炭ETF,399998.SZ,中证煤炭指数,Stock,Y
512200.SH,房地产ETF,931775.CSI,中证全指房地产指数,Stock,Y
159611.SZ,电力ETF,H30199.CSI,中证全指电力与电网指数,Stock,Y
159995.SZ,芯片ETF,980017.CNI,国证半导体芯片,Stock,Y
562500.SH,机器人ETF,H30590.CSI,中证机器人指数,Stock,Y
159819.SZ,人工智能ETF,930713.CSI,中证人工智能主题指数,Stock,Y
159870.SZ,化工ETF,000813.CSI,中证细分化工产业主题指数,Stock,Y
512070.SH,证券保险ETF,H30035.CSI,沪深300非银行金融指数,Stock,Y
159755.SZ,电池ETF,980032.CNI,国证新能源车电池指数,Stock,Y
515790.SH,光伏ETF,931151.CSI,中证光伏产业指数,Stock,Y
159992.SZ,创新药ETF,931152.CSI,中证创新药产业指数,Stock,Y
515880.SH,通信ETF,931160.CSI,中证全指通信设备指数,Stock,Y
159869.SZ,游戏ETF,930901.CSI,中证动漫游戏指数,Stock,Y
159851.SZ,金融科技ETF,930986.CSI,中证金融科技主题指数,Stock,Y
511010.SH,国债ETF,000140.SH,上证5年期国债指数,Bond,Y
511260.SH,十年国债ETF,H01077.SH,上证10年期国债指数(净价),Bond,Y
511090.SH,30年国债ETF,CBA21801.CS,中债-30年期国债指数,Bond,Y
511220.SH,城投债ETF,H11098.SH,上证城投债指数,Bond,Y
511030.SH,公司债ETF,CBC00702.CS,中债-中高等级公司债利差因子指数,Bond,Y
511190.SH,信用债ETF,950245.CSI,上证基准做市公司债指数,Bond,Y
511380.SH,可转债ETF,931078.CSI,中证可转债及可交换债券指数,Bond,Y
159980.SZ,有色ETF,IMCI.SHF,上海期货交易所有色金属期货价格指数,Commodity,Y
159985.SZ,豆粕ETF,DCESMFI.DCE,大连商品交易所豆粕期货价格指数,Commodity,Y
159981.SZ,能源化工ETF,000201.CZC,易盛能化A,Commodity,Y
518880.SH,黄金ETF,AU9999.SGE,SGE黄金999,Gold,Y
511360.SH,短融ETF,H11014.CSI,中证短融指数,Cash,N
