date,中债-国债总净价(7-10年)指数,恒生指数,南华沪铜指数,CRB工业现货,南华生猪指数,中国:大宗价:猪肉,中国:平均批发价:猪肉,ICE布油连续,南华螺纹钢指数,南华动力煤指数,货币基金,中债-企业债AA财富(1-3年)指数,中债-国开行债券总财富(1-3年)指数,中债-国债总财富(1-3年)指数,中证800成长,中证800价值,SGE黄金9999,伦敦金现
2005-01-04,,14045.9,1259.354,319.22,,,,41.04,,,977.2315,,105.1581,107.0923,980.185,978.877,114.87,427.55
2005-01-05,,13764.36,1231.6717,320.43,,,,40.51,,,977.32,,105.0094,107.6623,986.321,984.697,114.64,426.55
2005-01-06,,13712.04,1254.2874,318.08,,,,42.85,,,977.4099,,105.3141,107.2544,975.17,974.024,114.39,421.4
2005-01-07,,13574.86,1253.1373,320.5,,,,43.18,,,977.492,,105.4465,107.2894,974.928,973.515,113.19,419.05
2005-01-10,,13531.39,1242.0708,321.64,,,,42.92,,,977.7195,,105.3226,107.3122,983.893,983.329,112.7,419.63
2005-01-11,,13509.25,1257.9552,320.91,,,,43.12,,,977.7999,,105.5837,107.3415,987.218,986.662,113.0,421.65
2005-01-12,,13565.31,1275.1633,320.77,,,,43.68,,,977.8932,,105.4808,107.3872,988.542,987.325,113.29,426.15
2005-01-13,,13573.28,1271.1922,319.23,,,,45.21,,,977.9915,,105.2039,107.462,988.035,987.206,114.17,425.2
2005-01-14,,13494.78,1270.7509,319.13,,,,45.15,,,978.0796,,105.5385,107.6314,979.343,980.523,113.67,423.15
2005-01-17,,13621.65,1292.3714,319.13,,,,45.03,,,978.3179,,105.4043,107.4777,960.614,959.464,113.3,422.13
2005-01-18,,13604.22,1290.6064,319.36,,,,45.39,,,978.4073,,105.1098,107.4619,965.797,965.011,113.42,423.05
2005-01-19,,13678.63,1305.6084,321.27,,,,44.71,,,978.499,,105.0337,107.5158,957.538,959.029,113.38,423.15
2005-01-20,,13543.59,1304.7259,321.59,,,,44.32,,,978.5869,,105.2918,107.4752,948.715,947.706,113.25,422.35
2005-01-21,,13481.02,1323.6989,322.12,,,,45.73,,,978.6793,,105.2653,107.6078,975.103,977.697,113.2,427.25
2005-01-24,,13386.99,1351.0553,322.15,,,,46.01,,,978.9069,,105.3585,107.5801,992.352,991.841,114.2,427.35
2005-01-25,,13584.06,1349.2904,321.16,,,,46.96,,,978.9951,,105.3461,107.672,994.528,991.88,114.0,422.2
2005-01-26,,13623.68,1327.2288,322.52,,,,46.51,,,979.0952,,105.3239,107.7259,988.145,986.928,113.16,426.8
2005-01-27,,13628.91,1351.0553,321.84,,,,46.44,,,979.1871,,105.48,107.7595,974.506,973.481,113.67,426.2
2005-01-28,,13650.06,1350.6141,322.09,,,,44.95,,,979.2857,,105.5928,107.8207,969.297,968.266,113.56,427.0
