2026-01-04 22:23:42 | INFO | framework.data | 按资产类别载入完成 | 类别数=5
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Growth_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Inflation_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | INFO | strategy.AllWeather | [2018-11-30] 因子风险贡献验证: CN_Growth_Change:6.9%(目标50.0%), CN_Inflation_Change:93.1%(目标50.0%)
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Growth_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Inflation_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | INFO | strategy.AllWeather | [2018-12-28] 因子风险贡献验证: CN_Growth_Change:62.1%(目标50.0%), CN_Inflation_Change:37.9%(目标50.0%)
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Growth_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Inflation_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | INFO | strategy.AllWeather | [2019-01-31] 因子风险贡献验证: CN_Growth_Change:100.0%(目标50.0%), CN_Inflation_Change:0.0%(目标50.0%)
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Growth_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Inflation_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | INFO | strategy.AllWeather | [2019-02-28] 因子风险贡献验证: CN_Growth_Change:99.9%(目标50.0%), CN_Inflation_Change:0.1%(目标50.0%)
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Growth_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Inflation_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | INFO | strategy.AllWeather | [2019-03-29] 因子风险贡献验证: CN_Growth_Change:93.5%(目标50.0%), CN_Inflation_Change:6.5%(目标50.0%)
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Growth_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Inflation_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
2026-01-04 22:23:43 | INFO | strategy.AllWeather | [2019-04-30] 因子风险贡献验证: CN_Growth_Change:97.5%(目标50.0%), CN_Inflation_Change:2.5%(目标50.0%)
2026-01-04 22:23:43 | WARNING | strategy.AllWeather | 象限 Growth_Rising: 部分 ETF 未找到对应的 Index 映射，请检查配置文件
